sentid	comparison	pairid	contextid	lemma	condition	pronoun	sentence	ROI	ROI word
1	expected	1	1	HATE		na	the athlete that the athlete hates is funny	5	hates
2	unexpected	1	1	HATE		na	the athlete that the athlete hate is funny	5	hate
3	expected	2	2	HATE		na	the athlete that the farmer hates is funny	5	hates
4	unexpected	2	2	HATE		na	the athlete that the farmer hate is funny	5	hate
5	expected	3	3	LOVE		na	the athletes that the doctor loves are old	5	loves
6	unexpected	3	3	LOVE		na	the athletes that the doctor love are old	5	love
7	expected	4	4	LOVE		na	the athletes that the doctor loves are sad	5	loves
8	unexpected	4	4	LOVE		na	the athletes that the doctor love are sad	5	love
9	expected	5	5	PREFER		na	the biker that the chef prefers swims	5	prefers
10	unexpected	5	5	PREFER		na	the biker that the chef prefer swims	5	prefer
11	expected	6	6	DETEST		na	the biker that the pilot detests is entertaining	5	detests
12	unexpected	6	6	DETEST		na	the biker that the pilot detest is entertaining	5	detest
13	expected	7	7	PREFER		na	the bikers that the pilot prefers cook	5	prefers
14	unexpected	7	7	PREFER		na	the bikers that the pilot prefer cook	5	prefer
15	expected	8	8	DETEST		na	the chef that the biker detests is old	5	detests
16	unexpected	8	8	DETEST		na	the chef that the biker detest is old	5	detest
17	expected	9	9	PREFER		na	the chef that the farmer prefers swims	5	prefers
18	unexpected	9	9	PREFER		na	the chef that the farmer prefer swims	5	prefer
19	expected	10	10	DETEST		na	the chef that the kid detests cooks	5	detests
20	unexpected	10	10	DETEST		na	the chef that the kid detest cooks	5	detest
21	expected	11	11	RESPECT		na	the chefs that the athlete respects laugh	5	respects
22	unexpected	11	11	RESPECT		na	the chefs that the athlete respect laugh	5	respsect
23	expected	12	12	RESPECT		na	the chefs that the writer respects paint	5	respects
24	unexpected	12	12	RESPECT		na	the chefs that the writer respect paint	5	respsect
25	expected	13	13	PREFER		na	the dancer that the chef prefers is entertaining	5	prefers
26	unexpected	13	13	PREFER		na	the dancer that the chef prefer is entertaining	5	prefer
27	expected	14	14	DETEST		na	the dancers that the athlete detests are bright	5	detests
28	unexpected	14	14	DETEST		na	the dancers that the athlete detest are bright	5	detest
29	expected	15	15	PREFER		na	the doctor that the dancer prefers is entertaining	5	prefers
30	unexpected	15	15	PREFER		na	the doctor that the dancer prefer is entertaining	5	prefer
31	expected	16	16	PREFER		na	the doctors that the biker prefers are old	5	prefers
32	unexpected	16	16	PREFER		na	the doctors that the biker prefer are old	5	prefer
33	expected	17	17	LOVE		na	the doctors that the chef loves are old	5	
34	unexpected	17	17	LOVE		na	the doctors that the chef love are old	5	
35	expected	18	18	HATES		na	the doctors that the doctor hates smile	5	
36	unexpected	18	18	HATES		na	the doctors that the doctor hate smile	5	
37	expected	19	19	DETEST		na	the doctors that the kid detests paint	5	detests
38	unexpected	19	19	DETEST		na	the doctors that the kid detest paint	5	detest
39	expected	20	20	LOVE		na	the farmers that the pilot loves are sad	5	
40	unexpected	20	20	LOVE		na	the farmers that the pilot love are sad	5	
41	expected	21	21	RESPECT		na	the farmers that the pilot respects paint	5	respects
42	unexpected	21	21	RESPECT		na	the farmers that the pilot respect paint	5	respsect
43	expected	22	22	DETEST		na	the farmers that the writer detests cook	5	detests
44	unexpected	22	22	DETEST		na	the farmers that the writer detest cook	5	detest
45	expected	23	23	HATES		na	the hiker that the athlete hates is bright	5	
46	unexpected	23	23	HATES		na	the hiker that the athlete hate is bright	5	
47	expected	24	24	PREFER		na	the hiker that the athlete prefers cooks	5	prefers
48	unexpected	24	24	PREFER		na	the hiker that the athlete prefer cooks	5	prefer
49	expected	25	25	RESPECT		na	the hiker that the chef respects swims	5	respects
50	unexpected	25	25	RESPECT		na	the hiker that the chef respect swims	5	respsect
51	expected	26	26	DETEST		na	the hiker that the dancer detests is entertaining	5	detests
52	unexpected	26	26	DETEST		na	the hiker that the dancer detest is entertaining	5	detest
53	expected	27	27	LOVE		na	the hikers that the pilot loves cook	5	
54	unexpected	27	27	LOVE		na	the hikers that the pilot love cook	5	
55	expected	28	28	LOVE		na	the hikers that the writer loves paint	5	
56	unexpected	28	28	LOVE		na	the hikers that the writer love paint	5	
57	expected	29	29	LOVE		na	the jokes that the farmer loves are funny	5	
58	unexpected	29	29	LOVE		na	the jokes that the farmer love are funny	5	
59	expected	30	30	LOVE		na	the jokes that the hiker loves are sad	5	
60	unexpected	30	30	LOVE		na	the jokes that the hiker love are sad	5	
61	expected	31	31	RESPECT		na	the kid that the hiker respects smiles	5	respects
62	unexpected	31	31	RESPECT		na	the kid that the hiker respect smiles	5	respsect
63	expected	32	32	DETEST		na	the memory that the dancer detests is bright	5	detests
